2022:10:05 14:58:00.892 INFO  --- [main] com.ServerApplication : Starting ServerApplication using Java 11.0.14.1 on hwang-yeonghaui-MacBookPro.local with PID 84650 (/Users/hwang-yeongha/Desktop/Sporty-note/out/production/classes started by hwang-yeongha in /Users/hwang-yeongha/Desktop/Sporty-note) 
2022:10:05 14:58:02.367 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2022:10:05 14:58:02.367 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1455 ms 
2022:10:05 14:58:02.415 INFO  --- [main] c.u.j.e.DefaultLazyEncryptor : Found Custom Encryptor Bean org.jasypt.encryption.pbe.PooledPBEStringEncryptor@42e7e12f with name: jasyptStringEncryptor 
2022:10:05 14:58:02.514 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default] 
2022:10:05 14:58:02.532 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate ORM core version 5.6.9.Final 
2022:10:05 14:58:02.590 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2022:10:05 14:58:02.628 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting... 
2022:10:05 14:58:02.714 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed. 
2022:10:05 14:58:02.719 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect 
2022:10:05 14:58:03.298 INFO  --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2022:10:05 14:58:03.302 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2022:10:05 14:58:03.791 WARN  --- [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2022:10:05 14:58:03.892 WARN  --- [main] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: 28be7bc4-b2aa-4e37-b59e-cae724873892

This generated password is for development use only. Your security configuration must be updated before running your application in production.
 
2022:10:05 14:58:03.950 INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2022:10:05 14:58:03.962 INFO  --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html] 
2022:10:05 14:58:04.073 INFO  --- [main] o.s.s.w.DefaultSecurityFilterChain : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4230d4f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f51c04f, org.springframework.security.web.context.SecurityContextPersistenceFilter@36c1b50d, org.springframework.security.web.header.HeaderWriterFilter@30ee00f6, org.springframework.web.filter.CorsFilter@57b9ccc3, org.springframework.security.web.authentication.logout.LogoutFilter@1a180d5b, com.sportynote.server.security.JwtAuthenticationFilter@14c4b3e1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@71f164d6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@607c77f4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8119d43, org.springframework.security.web.session.SessionManagementFilter@55e13772, org.springframework.security.web.access.ExceptionTranslationFilter@7d20cd82, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7e853285] 
2022:10:05 14:58:04.291 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.RefreshScopeRefreshedEventListener : Refreshing cached encryptable property sources on ServletWebServerInitializedEvent 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.CachingDelegateEncryptablePropertySource : Property Source systemProperties refreshed 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.CachingDelegateEncryptablePropertySource : Property Source systemEnvironment refreshed 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.CachingDelegateEncryptablePropertySource : Property Source random refreshed 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.CachingDelegateEncryptablePropertySource : Property Source Config resource 'class path resource [application-oauth.properties]' via location 'optional:classpath:/' refreshed 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.CachingDelegateEncryptablePropertySource : Property Source Config resource 'class path resource [application-dev.properties]' via location 'optional:classpath:/' refreshed 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.c.CachingDelegateEncryptablePropertySource : Property Source Config resource 'class path resource [application.properties]' via location 'optional:classpath:/' refreshed 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.EncryptablePropertySourceConverter : Converting PropertySource server.ports [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.EncryptablePropertySourceConverter : Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.EncryptablePropertySourceConverter : Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource 
2022:10:05 14:58:04.292 INFO  --- [main] c.u.j.EncryptablePropertySourceConverter : Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper 
2022:10:05 14:58:04.293 INFO  --- [main] s.d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed 
2022:10:05 14:58:04.298 INFO  --- [main] s.d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s) 
2022:10:05 14:58:04.313 INFO  --- [main] s.d.s.w.s.ApiListingReferenceScanner : Scanning for api listing references 
2022:10:05 14:58:04.408 INFO  --- [main] com.ServerApplication : Started ServerApplication in 3.746 seconds (JVM running for 4.089) 
2022:10:05 15:34:39.118 INFO  --- [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default' 
2022:10:05 15:34:39.123 INFO  --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated... 
2022:10:05 15:34:39.127 INFO  --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed. 
